Sample_Name,Batch,Top5_LabID,Weight..gram.,gDNA.Concentration..ng.ul.,qpcr_nM,CollDate,Latitude,Longitude,pH,Clay,Sand,Silt,temp_mean,precipitation_mean,KG_Main,KG_Sub,KG_TempType,KG_Main_Sub,KG_MST,trnl_raw_rc,its2_raw_rc,trnl_nonchim,its2_nonchim
Sample131,4,C-343351,102,30.6,101.89,7/22/10,35.9776,-112.8662,7.9,25,40.9,34.1,11.54405056,32.07834163,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,195726,134022,166361,78695
Sample132,4,C-346686,102,58,85.15,5/25/10,40.6196,-91.9232,5.9,26,67.8,12.4,11.25106166,82.18160838,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,281247,225662,226995,138760
Sample133,4,C-348371,108,57,189.82,5/23/10,41.0759,-93.956,6.1,35.8,50.6,20.1,9.912925444,74.3197556,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,77405,55744,60960,35914
Sample134,4,C-348381,102,153.6,164.88,5/21/10,40.8783,-95.603,5.9,31.3,76,10,10.78673661,70.88370851,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,89577,48116,76231,21327
Sample135,4,C-348538,103,25.1,122.59,6/4/10,44.0468,-118.4077,7,21.7,23.7,54.6,6.002503071,60.35401929,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,143587,91003,127606,47367
Sample136,4,C-348555,120,25.1,134.5,6/3/10,42.9068,-118.8955,7.1,31,35.4,33.6,8.540442077,23.05800558,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,194571,129447,169556,68117
Sample137,4,C-348771,117,167.6,236.69,8/2/10,41.6734,-89.9209,6.7,14,17.4,70.6,9.700736568,76.99951401,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,75679,106091,64001,58736
Sample138,4,C-348784,107,48,140.17,8/5/10,41.6414,-87.8563,6.6,19.8,21,54.1,10.24171161,80.77236691,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,239220,136857,186120,77701
Sample139,4,C-348789,103,59,129.69,8/5/10,42.4228,-88.3066,6.3,29.3,41.4,37.1,8.735692076,74.33041961,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,83409,76245,71378,40955
Sample140,4,C-348922,102,55,251.89,8/16/10,39.4402,-87.8134,6,19,67.1,11.4,11.99260054,88.58542218,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,99069,61905,78785,35428
Sample141,4,C-349750,103,54,322.31,7/2/10,43.1686,-91.5874,6.5,21.5,50,15,7.858461467,73.86543609,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,77939,117868,65906,66322
Sample142,4,C-349770,116,11.8,142.14,7/8/10,42.4478,-94.7458,7.6,32,51.9,23.9,8.523442032,69.53313323,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,107170,124742,85483,71372
Sample143,4,C-349776,99,19.3,100.42,7/9/10,43.061,-92.9734,6.5,19,66,13.6,8.189464263,71.71504736,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,90460,114684,80672,73305
